Name,FinalStar,RatingDistTotal,
"Creating Mobile Games: Using Java ME Platform to Put the Fun Into Your Mobile Device and Cell Phone",3.5,2,
"Perpetual Contact: Mobile Communication, Private Talk, Public Performance",3.7,11,
"S60 Smartphone Quality Assurance: A Guide for Mobile Engineers and Developers",0,0,
"The King's Swift Rider: A Novel on Robert the Bruce",3.7,179,
"Graham Swift",4.0,5,
"Lives of the Poets: Addison, Savage and Swift",4.2,8,
"Satire in Narrative: Petronius, Swift, Gibbon, Melville, & Pynchon",3.0,2,
"Mercury Or The Secret and Swift Messenger",3.5,4,
"Tom Swift and His Sky Racer, or, the Quickest Flight on Record (Tom Swift Sr, #9)",3.9,78,
"MCAD/MCSE/MCDBA Self-Paced Training Kit: Microsoft SQL Server 2000 Database Design and Implementation, Exam 70-229: Microsoft SQL Server 2000 Database Design and Implementation, Exam 70-229",3.8,30,
"Agile Database Techniques: Effective Strategies for the Agile Software Developer",3.3,44,
"Current Trends in Database Technology - EDBT 2004 Workshops",0,0,
"Current Trends in Database Technology  Edbt 2006 Workshop.",3.0,1,
"Applied Mathematics for Database Professionals",4.0,24,
"Database Tuning: Principles, Experiments, and Troubleshooting Techniques",3.5,8,
"SQL Server Dts",3.2,4,
"Expert SQL Server 2005 Integration Services",3.9,12,
"Pro VS 2005 Reporting Using SQL Server and Crystal Reports",3.8,4,
"A Guide to Developing Client/Server SQL Applications",2.5,2,
"MCAD/MCSE/MCDBA Self-Paced Training Kit: Microsoft SQL Server 2000 Database Design and Implementation, Exam 70-229: Microsoft SQL Server 2000 Database Design and Implementation, Exam 70-229",3.8,30,
"The Art of SQL",3.9,131,
"Joe Celko's SQL for Smarties: Advanced SQL Programming",4.0,186,
"Beginning SQL",3.1,21,
"Mastering SQL Server 2000 Security",0,0,
"Managing & Using MySQL: Open Source SQL Databases for Managing Information & Web Sites",3.9,29,
"SQL Functions: Programmer's Reference",3.0,2,
"SQL: Practical Guide for Developers",3.4,5,
"JavaScript Pocket Reference",3.8,196,
"JavaScript: The Definitive Guide: The Definitive Guide",4.0,2700,
"Designing with JavaScript",3.2,26,
"Javascript: The Definitive Guide: The Definitive Guide",4.0,2702,
"Be Gentle, Python!",0,0,
"Advanced Java Game Programming",3.5,6,
"Jxta: Java P2P Programming",3.0,2,
"Programming Wireless Devices with the Java 2 Platform, Micro Edition",2.7,3,
"Programming The Internet With Java",3.0,2,
"Java Network Programming",3.6,117,
"The Termination Node",3.8,33,
"Building Embedded Linux Systems",3.9,88,
"Embedded Systems: Design and Applications with the 68hc12 and Hcs12",0,0,
"Artificial Intelligence: A Modern Approach",4.2,3637,
"Machines Who Think: A Personal Inquiry Into the History and Prospects of Artificial Intelligence",3.6,43,
"Data Mining in Bioinformatics",5.0,1,
"Intelligent Data Mining: Techniques And Applications (Studies In Computational Intelligence)",4.0,1,
"Principles of Data Mining",3.7,29,
"Bunny Hop: A Baby Wiggles Mobile Book (Board Book With Mobile)",5.0,1,
"The Field Men: The SS Officers Who Led the Einsatzkommandos--The Nazi Mobile Killing Units",4.2,5,
"Microsoft Mobile Development Handbook",3.4,15,
"Autonomic Management of Mobile Multimedia Services: 9th IFIP/IEEE International Conference on Management of Multimedia and Mobile Networks and Services, MMNS 2006, Dublin, Ireland, October 25-27, 2006, Proceedings",0,0,
"Mobile Suit Gundam 0079 GN, Volume 1",4.1,39,
"Mobile Suit Gundam 0079, Volume 7",4.2,15,
"Disruptive Security Technologies With Mobile Code And Peer To Peer Networks",5.0,2,
"New Men, New Cities, New South: Atlanta, Nashville, Charleston, Mobile, 1860-1910",3.2,13,
"Mobile Robot Localization and Map Building: A Multisensor Fusion Approach",0,0,
"Mobilize Yourself! the Microsoft Guide to Mobile Technology",3.0,2,
"Android at Arms",3.7,275,
"Chimney Swift Towers: New Habitat for America's Mysterious Birds",4.4,8,
